Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=134,12,0,39,45.659017416667474,31.229917000004548,82.56558399999747,25495.25,0.19843887770146781,0.0,41,43,46,46,77,83,83,83,83,83,83
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=135,7,0,46,47.666630999999356,32.29116700000034,74.22375000000159,26380.85714285714,0.11575601199252289,0.0,46,52,58,58,74,74,74,74,74,74,74
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=136,4,0,68,76.47970824999994,65.14291599999922,103.21137500000077,25583.0,0.06614629256715594,0.0,70,70,100,100,100,100,100,100,100,100,100
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=137,6,0,45,47.77960400000114,34.30912500000005,62.91304100000028,26735.166666666668,0.09921943885073391,0.0,49,49,53,53,63,63,63,63,63,63,63
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=138,9,0,49,65.40941199999946,35.12324999999983,126.60695900000007,25594.777777777777,0.14882915827610085,0.0,49,56,67,120,130,130,130,130,130,130,130
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=139,9,0,44,46.911310444444176,30.314084000000463,60.80837500000058,26584.11111111111,0.14882915827610085,0.0,44,54,55,55,61,61,61,61,61,61,61
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=14,10,0,44,49.882633500000395,33.476874999998074,67.32333400000101,25043.2,0.16536573141788985,0.0,48,62,63,65,67,67,67,67,67,67,67
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=140,5,0,45,53.28190840000034,35.34937499999913,75.92075000000165,25696.6,0.08268286570894492,0.0,45,67,67,76,76,76,76,76,76,76,76
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=141,10,0,43,45.771466299997066,32.380333999995514,89.25070799999446,25900.0,0.16536573141788985,0.0,43,44,46,47,89,89,89,89,89,89,89
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=142,8,0,45,54.02528162499998,32.10620900000016,78.70104199999872,24899.5,0.13229258513431189,0.0,64,69,77,77,79,79,79,79,79,79,79
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=143,7,0,38,48.86064285714247,30.21458299999935,88.30408400000067,25178.85714285714,0.11575601199252289,0.0,38,58,60,60,88,88,88,88,88,88,88
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=144,11,0,43,43.93425372727368,35.24795799999936,51.753166999997546,25956.090909090908,0.18190230455967882,0.0,43,48,49,49,52,52,52,52,52,52,52
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=145,4,0,48,53.437375500000606,33.97895899999881,77.633917,26713.5,0.06614629256715594,0.0,54,54,78,78,78,78,78,78,78,78,78
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=146,8,0,53,53.039661375000385,31.32854200000068,70.33941599999949,26652.375,0.13229258513431189,0.0,58,61,69,69,70,70,70,70,70,70,70
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=147,8,0,38,44.28529699999906,30.417249999999285,69.17512499999745,27584.5,0.13229258513431189,0.0,45,47,54,54,69,69,69,69,69,69,69
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=148,6,0,47,53.702590166667015,44.39529200000436,88.61941600000023,25188.333333333332,0.09921943885073391,0.0,47,47,51,51,89,89,89,89,89,89,89
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=149,8,0,48,57.65579162500023,37.30337500000047,87.1613330000045,26273.5,0.13229258513431189,0.0,62,63,76,76,87,87,87,87,87,87,87
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=15,9,0,47,45.41006022222306,32.38962500000042,56.110041000000166,26281.0,0.14882915827610085,0.0,47,48,48,54,56,56,56,56,56,56,56
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=150,8,0,46,53.91948437500038,30.04908300000153,95.65041700000165,25713.25,0.13229258513431189,0.0,55,59,72,72,96,96,96,96,96,96,96
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=151,10,0,46,54.0040292000004,36.31879199999943,129.6700000000044,26300.6,0.16536573141788985,0.0,47,49,53,58,130,130,130,130,130,130,130
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=152,5,0,66,62.09954159999995,35.41579100000014,104.31062499999655,27813.8,0.08268286570894492,0.0,66,66,66,100,100,100,100,100,100,100,100
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=153,7,0,48,79.84113128571327,35.5997919999993,201.63812499999878,25888.14285714286,0.11575601199252289,0.0,48,61,120,120,200,200,200,200,200,200,200
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=154,7,0,53,52.706142714286436,38.08104200000173,67.00204099999851,25439.0,0.11575601199252289,0.0,53,54,63,63,67,67,67,67,67,67,67
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=155,8,0,43,50.53005187499959,32.863750000000636,75.10062499999748,26950.25,0.13229258513431189,0.0,44,59,71,71,75,75,75,75,75,75,75
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=156,7,0,39,65.65034514285628,27.669625000001474,166.60404099999937,25106.714285714286,0.11575601199252289,0.0,39,59,93,93,170,170,170,170,170,170,170
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=157,11,0,42,42.518897636363576,29.64437500000372,55.61462500000047,25255.81818181818,0.18190230455967882,0.0,42,47,49,49,51,56,56,56,56,56,56
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=158,6,0,51,54.08105583333148,33.3590839999971,74.53970899999973,25520.333333333332,0.09921943885073391,0.0,55,55,63,63,75,75,75,75,75,75,75
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=159,11,0,52,56.59373881818087,28.675999999999036,87.46229199999789,26709.363636363636,0.18190230455967882,0.0,52,59,71,71,84,87,87,87,87,87,87
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=16,6,0,49,58.8662708333348,30.670457999999456,116.33387500000225,24440.666666666668,0.09921943885073391,0.0,59,59,60,60,120,120,120,120,120,120,120
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=160,5,0,43,51.99459159999903,40.79999999999728,83.854125000002,28006.8,0.08268286570894492,0.0,43,50,50,84,84,84,84,84,84,84,84
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=161,7,0,47,46.23586900000122,28.359999999999275,79.63579100000118,25614.0,0.11575601199252289,0.0,47,47,52,52,80,80,80,80,80,80,80
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=162,10,0,40,47.201762600000926,29.48441699999993,77.00541600000577,25540.0,0.16536573141788985,0.0,40,46,51,74,77,77,77,77,77,77,77
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=163,6,0,50,53.44119433333224,40.86420800000212,68.74212499999999,25949.5,0.09921943885073391,0.0,52,52,64,64,69,69,69,69,69,69,69
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=164,3,0,84,78.07823599999845,43.6874169999939,106.18591600000116,26883.666666666668,0.049609719425366954,0.0,84,84,110,110,110,110,110,110,110,110,110
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=165,7,0,46,46.202690285714006,33.55291600000143,62.49820799999739,25761.0,0.11575601199252289,0.0,46,46,54,54,62,62,62,62,62,62,62
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=166,9,0,46,51.0403011111097,37.06958399999749,81.33558299999777,25591.444444444445,0.14882915827610085,0.0,46,54,57,60,81,81,81,81,81,81,81
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=167,6,0,39,46.46528466666725,36.61166699999896,61.28337499999503,25606.166666666668,0.09921943885073391,0.0,51,51,52,52,61,61,61,61,61,61,61
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=168,14,0,48,48.91152692857111,37.1061250000011,66.59270899999825,25749.0,0.23151202398504578,0.0,48,50,55,56,63,67,67,67,67,67,67
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=169,8,0,44,51.559619750000785,32.184499999999616,74.99620800000173,24987.125,0.13229258513431189,0.0,56,60,71,71,75,75,75,75,75,75,75
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=17,10,0,43,45.87458739999928,35.61799999999948,69.33208300000082,26100.6,0.16536573141788985,0.0,44,45,47,61,69,69,69,69,69,69,69
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=170,9,0,54,56.01199999999926,41.90583300000128,78.02654200000347,26117.555555555555,0.14882915827610085,0.0,54,54,55,74,78,78,78,78,78,78,78
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=171,13,0,44,45.211615384614895,24.751792000003547,62.568375000005005,26555.384615384617,0.21497545084325678,0.0,44,50,58,58,61,63,63,63,63,63,63
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=172,5,0,55,63.29654179999907,32.542208999998934,116.69300000000149,25825.6,0.08268286570894492,0.0,55,76,76,120,120,120,120,120,120,120,120
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=173,7,0,54,58.89282128571502,35.97050000000479,98.6875420000004,26280.14285714286,0.11575601199252289,0.0,54,67,74,74,99,99,99,99,99,99,99
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=174,9,0,48,55.769411999999484,34.42095800000011,123.63004099999841,25456.666666666668,0.14882915827610085,0.0,48,54,56,64,120,120,120,120,120,120,120
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=175,1,0,54.59300000000411,54.59300000000411,54.59300000000411,54.59300000000411,25580.0,0.016536573141788986,0.0,55,55,55,55,55,55,55,55,55,55,55
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=176,5,0,38,42.9926248000001,33.06370800000025,63.42820800000126,27118.2,0.08268286570894492,0.0,38,43,43,63,63,63,63,63,63,63,63
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=177,8,0,49,48.22281274999973,38.18224999999842,60.15191699999889,26019.875,0.13229258513431189,0.0,51,53,54,54,60,60,60,60,60,60,60
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=178,9,0,41,46.40256033333401,37.027709000000186,66.29583400000172,25105.88888888889,0.14882915827610085,0.0,41,47,48,63,66,66,66,66,66,66,66
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=179,6,0,74,75.15244449999929,39.78295900000006,121.89070799999513,25945.833333333332,0.09921943885073391,0.0,75,75,96,96,120,120,120,120,120,120,120
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=18,7,0,45,43.788416714285844,28.42199999999906,57.032875000004424,26161.85714285714,0.11575601199252289,0.0,45,49,49,49,57,57,57,57,57,57,57
